version,cpu,file,file_hash,file_size,source_hash,source_size,facets,volume,render_time
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/50ft_v2/gnal_50ft_spacer.stl,e575325b14736a33e93f7976ca3494b88070c00c3304fefcdf841d583c5b2513,991452,920245d6ceadd742db1fd9b871b2bb911536a3b14c752159321d5080a2f0752b,6979,5736,2888.150879,22
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/50ft_v2/gnal_50ft_top.stl,699d66cc91be2996fa50ccbb2d40f9d77a654a3946733d46081753a5bda57f31,2132181,920245d6ceadd742db1fd9b871b2bb911536a3b14c752159321d5080a2f0752b,6979,12624,57937.210938,73
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/50ft_v2/gnal_50ft_spiral.stl,bfa07a459aee7f4cbb17bd47a3e1ac3d4b1eb245b58df797d1c27081e5132a62,34628449,920245d6ceadd742db1fd9b871b2bb911536a3b14c752159321d5080a2f0752b,6979,193450,178181.250000,2341
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/50ft_v2/gnal_50ft_insert_s8.stl,ed7d873614cd2db758f0029820ae66dc5842a165f7ae74900b998083797cbe41,5228272,920245d6ceadd742db1fd9b871b2bb911536a3b14c752159321d5080a2f0752b,6979,27230,3493.560303,97
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/50ft_v2/gnal_50ft_insert_16.stl,adc986f4f7f4c2aa58af555ebcc9d6c664801fe13a1eb8703b26133ca89899b8,7922994,920245d6ceadd742db1fd9b871b2bb911536a3b14c752159321d5080a2f0752b,6979,41426,4664.952637,155
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/50ft_v2/gnal_50ft_spacer_16.stl,32a96ae6780305c135e678fa868b38dc96e8bd89914dccf9c7293cb7c4e63a33,561267,920245d6ceadd742db1fd9b871b2bb911536a3b14c752159321d5080a2f0752b,6979,3272,4015.912109,19
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/100ft_v2/gnal_100ft_spacer.stl,a310c0a81c5cd07446b0239c44c5b87924d2b3610c71125cc15976f6697ff14d,991452,3a9b09c0f705fc6f80e2a1db93cab7aa9a618abc638127757b91ca286e85e45f,9847,5736,2888.152100,23
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/100ft_v2/gnal_100ft_top.stl,8e88b052ceaf28805bd57e1d2a6de6252e2887dc62f82d5249800fcbe7574e97,3302563,3a9b09c0f705fc6f80e2a1db93cab7aa9a618abc638127757b91ca286e85e45f,9847,19552,102590.812500,118
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/100ft_v2/gnal_100ft_spiral.stl,cdc8ede52f6e92224c0e0a0258079058cbc03d35d6c3a64904163d027a61d13c,59279238,3a9b09c0f705fc6f80e2a1db93cab7aa9a618abc638127757b91ca286e85e45f,9847,330000,345431.531250,4542
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/100ft_v2/gnal_100ft_insert_s8.stl,08a9cc3462b1ed5941d1f7cc9f1c0b2f3995975f5a1ac1eb80595e598d93b96b,5228272,3a9b09c0f705fc6f80e2a1db93cab7aa9a618abc638127757b91ca286e85e45f,9847,27230,3493.559326,99
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/100ft_v2/gnal_100ft_insert_16.stl,65ce7b321c0c49c693ff4e70c432e393c0ab481b7261224061e2f705e72453cf,7922994,3a9b09c0f705fc6f80e2a1db93cab7aa9a618abc638127757b91ca286e85e45f,9847,41426,4664.937500,160
2020.01.17,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,./dist/100ft_v2/gnal_100ft_spacer_16.stl,25ecbc60f25ed012f02ed1074a14e19a05133d2aa46746dcb60d2025ff8dd62e,535264,3a9b09c0f705fc6f80e2a1db93cab7aa9a618abc638127757b91ca286e85e45f,9847,3112,3964.118164,17
